province,confirm,dead,heal,new_confirm
香港,1066,4,1034,1
内蒙古,232,1,205,0
吉林,155,2,128,0
台湾,441,7,419,0
上海,670,7,655,1
湖北,68135,4512,63618,0
四川,564,3,558,0
北京,593,9,581,0
广东,1592,8,1581,0
福建,357,1,355,0
山东,788,7,780,0
天津,192,3,188,0
海南,169,6,162,0
云南,185,2,183,0
江苏,653,0,653,0
安徽,991,6,985,0
重庆,579,6,573,0
青海,18,0,18,0
澳门,45,0,45,0
辽宁,149,2,147,0
山西,198,0,198,0
河南,1276,22,1254,0
黑龙江,945,13,932,0
甘肃,139,2,137,0
陕西,308,3,305,0
河北,328,6,322,0
新疆,76,3,73,0
湖南,1019,4,1015,0
江西,937,1,936,0
西藏,1,0,1,0
宁夏,75,0,75,0
广西,254,2,252,0
浙江,1268,1,1267,0
贵州,147,2,145,0
