,source,target,value
0,埃及,四川,1
1,孟加拉国,广东,1
2,菲律宾,四川,2
3,科特迪瓦,天津,1
4,刚果(金),海南,1
5,瑞典,内蒙古,2
6,瑞典,上海,1
7,孟加拉国,云南,1
8,俄罗斯,陕西,52
9,俄罗斯,天津,1
10,澳大利亚,广东,1
11,未明确国家,河北,8
12,日本,黑龙江,1
13,意大利,黑龙江,1
14,缅甸,云南,1
15,马达加斯加,广东,1
16,多哥,广东,1
17,斯里兰卡,云南,1
18,尼日尔,广东,1
19,智利,广东,1
20,希腊,北京,1
21,挪威,北京,1
22,葡萄牙,上海,1
23,埃及,甘肃,1
24,卢森堡,北京,1
25,越南,福建,1
26,新加坡,广东,1
27,新加坡,上海,3
28,埃塞俄比亚,河南,1
29,埃塞俄比亚,广东,1
30,刚果(金),广东,2
31,墨西哥,福建,2
32,墨西哥,北京,1
33,墨西哥,上海,2
34,科特迪瓦,浙江,1
35,科特迪瓦,广东,1
36,土耳其,浙江,1
37,土耳其,广东,1
38,日本,辽宁,1
39,日本,福建,1
40,日本,上海,6
41,安哥拉,广东,3
42,奥地利,北京,3
43,印度尼西亚,陕西,1
44,印度尼西亚,上海,2
45,塞尔维亚,北京,4
46,比利时,吉林,1
47,比利时,陕西,1
48,比利时,山东,1
49,比利时,北京,1
50,匈牙利,北京,4
51,爱尔兰,山东,1
52,爱尔兰,福建,1
53,爱尔兰,广东,2
54,爱尔兰,上海,1
55,沙特阿拉伯,河南,1
56,沙特阿拉伯,云南,1
57,沙特阿拉伯,甘肃,4
58,马来西亚,四川,1
59,马来西亚,福建,1
60,马来西亚,广东,3
61,马来西亚,上海,1
62,荷兰,江苏,1
63,荷兰,浙江,1
64,荷兰,福建,1
65,荷兰,北京,1
66,荷兰,广东,1
67,荷兰,上海,1
68,布基纳法索,浙江,1
69,布基纳法索,福建,2
70,布基纳法索,广东,3
71,布基纳法索,上海,1
72,柬埔寨,重庆,1
73,柬埔寨,甘肃,1
74,柬埔寨,广东,6
75,柬埔寨,上海,1
76,德国,山东,2
77,德国,天津,1
78,德国,浙江,1
79,德国,上海,2
80,巴基斯坦,山东,2
81,巴基斯坦,北京,1
82,巴基斯坦,广东,6
83,瑞士,天津,1
84,瑞士,浙江,1
85,瑞士,广东,1
86,瑞士,上海,6
87,尼日利亚,广东,10
88,巴西,江苏,1
89,巴西,浙江,1
90,巴西,福建,4
91,巴西,北京,1
92,巴西,广东,2
93,巴西,上海,5
94,阿联酋,辽宁,1
95,阿联酋,江苏,1
96,阿联酋,山东,1
97,阿联酋,福建,2
98,阿联酋,广东,3
99,阿联酋,上海,5
100,加拿大,江苏,2
101,加拿大,天津,2
102,加拿大,浙江,1
103,加拿大,北京,1
104,加拿大,广东,5
105,加拿大,上海,4
106,泰国,吉林,2
107,泰国,四川,1
108,泰国,江苏,1
109,泰国,甘肃,1
110,泰国,北京,3
111,泰国,广东,6
112,泰国,上海,2
113,菲律宾,陕西,2
114,菲律宾,天津,1
115,菲律宾,福建,22
116,菲律宾,广东,17
117,菲律宾,上海,1
118,伊朗,宁夏,3
119,伊朗,四川,1
120,伊朗,甘肃,37
121,伊朗,北京,3
122,伊朗,上海,4
123,意大利,广西,1
124,意大利,四川,1
125,意大利,山东,1
126,意大利,浙江,15
127,意大利,北京,18
128,意大利,上海,17
129,法国,广西,1
130,法国,河南,1
131,法国,吉林,1
132,法国,河北,1
133,法国,四川,1
134,法国,江苏,3
135,法国,山东,2
136,法国,天津,12
137,法国,浙江,4
138,法国,福建,1
139,法国,内蒙古,19
140,法国,北京,7
141,法国,广东,14
142,法国,上海,22
143,西班牙,重庆,1
144,西班牙,陕西,2
145,西班牙,辽宁,2
146,西班牙,天津,6
147,西班牙,浙江,11
148,西班牙,内蒙古,2
149,西班牙,北京,47
150,西班牙,广东,7
151,西班牙,上海,11
152,美国,贵州,1
153,美国,江西,2
154,美国,重庆,1
155,美国,吉林,4
156,美国,云南,3
157,美国,陕西,2
158,美国,辽宁,13
159,美国,四川,6
160,美国,江苏,2
161,美国,山东,5
162,美国,甘肃,2
163,美国,天津,14
164,美国,浙江,3
165,美国,福建,15
166,美国,内蒙古,4
167,美国,北京,19
168,美国,广东,35
169,美国,上海,54
170,美国,黑龙江,2
171,英国,湖南,1
172,英国,湖北,1
173,英国,云南,4
174,英国,陕西,3
175,英国,辽宁,4
176,英国,四川,10
177,英国,江苏,11
178,英国,山东,10
179,英国,山西,5
180,英国,甘肃,1
181,英国,天津,17
182,英国,浙江,7
183,英国,福建,9
184,英国,内蒙古,23
185,英国,北京,57
186,英国,广东,57
187,英国,上海,91
188,英国,黑龙江,1
189,俄罗斯,安徽,1
190,俄罗斯,吉林,11
191,俄罗斯,河北,1
192,俄罗斯,山西,59
193,俄罗斯,浙江,2
194,俄罗斯,内蒙古,105
195,俄罗斯,广东,4
196,俄罗斯,上海,86
197,俄罗斯,黑龙江,381
