continentName,countryName,provinceName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
亚洲,中国,河南省,1276,0.0,1254,22,2020-04-14 00:00:00
亚洲,中国,河南省,1276,0.0,1253,22,2020-04-12 00:00:00
亚洲,中国,河南省,1276,0.0,1252,22,2020-04-06 00:00:00
亚洲,中国,河南省,1276,0.0,1251,22,2020-03-29 00:00:00
亚洲,中国,河南省,1275,0.0,1251,22,2020-03-28 00:00:00
亚洲,中国,河南省,1275,0.0,1250,22,2020-03-26 00:00:00
亚洲,中国,河南省,1274,0.0,1250,22,2020-03-23 00:00:00
亚洲,中国,河南省,1273,0.0,1250,22,2020-03-14 00:00:00
亚洲,中国,河南省,1273,0.0,1249,22,2020-03-12 00:00:00
亚洲,中国,河南省,1273,0.0,1249,22,2020-03-11 00:00:00
亚洲,中国,河南省,1272,0.0,1247,22,2020-03-08 00:00:00
亚洲,中国,河南省,1272,0.0,1244,22,2020-03-07 00:00:00
亚洲,中国,河南省,1272,0.0,1243,22,2020-03-06 00:00:00
亚洲,中国,河南省,1272,0.0,1244,22,2020-03-05 00:00:00
亚洲,中国,河南省,1272,0.0,1234,22,2020-03-04 00:00:00
亚洲,中国,河南省,1272,0.0,1231,22,2020-03-03 00:00:00
亚洲,中国,河南省,1272,0.0,1205,22,2020-03-02 00:00:00
亚洲,中国,河南省,1272,0.0,1198,22,2020-03-01 00:00:00
亚洲,中国,河南省,1272,0.0,1170,21,2020-02-29 00:00:00
亚洲,中国,河南省,1272,0.0,1112,20,2020-02-28 00:00:00
亚洲,中国,河南省,1272,0.0,1068,20,2020-02-27 00:00:00
亚洲,中国,河南省,1271,0.0,1033,19,2020-02-26 00:00:00
亚洲,中国,河南省,1271,0.0,1002,19,2020-02-25 00:00:00
亚洲,中国,河南省,1271,0.0,943,19,2020-02-24 00:00:00
亚洲,中国,河南省,1271,0.0,868,19,2020-02-23 00:00:00
亚洲,中国,河南省,1270,0.0,830,19,2020-02-22 00:00:00
亚洲,中国,河南省,1267,0.0,736,19,2020-02-21 00:00:00
亚洲,中国,河南省,1265,0.0,637,19,2020-02-20 00:00:00
亚洲,中国,河南省,1262,0.0,573,19,2020-02-19 00:00:00
亚洲,中国,河南省,1257,0.0,522,19,2020-02-18 00:00:00
亚洲,中国,河南省,1246,0.0,509,16,2020-02-17 00:00:00
亚洲,中国,河南省,1231,0.0,440,13,2020-02-16 00:00:00
亚洲,中国,河南省,1212,0.0,391,13,2020-02-15 00:00:00
亚洲,中国,河南省,1184,0.0,357,11,2020-02-14 00:00:00
亚洲,中国,河南省,1169,0.0,296,10,2020-02-13 00:00:00
亚洲,中国,河南省,1135,0.0,246,8,2020-02-12 00:00:00
亚洲,中国,河南省,1105,0.0,218,7,2020-02-11 00:00:00
亚洲,中国,河南省,1073,0.0,191,6,2020-02-10 00:00:00
亚洲,中国,河南省,1033,0.0,153,6,2020-02-09 00:00:00
亚洲,中国,河南省,981,0.0,116,4,2020-02-08 00:00:00
亚洲,中国,河南省,914,0.0,86,3,2020-02-07 00:00:00
亚洲,中国,河南省,851,0.0,56,2,2020-02-06 00:00:00
亚洲,中国,河南省,764,0.0,47,2,2020-02-05 00:00:00
亚洲,中国,河南省,675,2.0,27,2,2020-02-04 00:00:00
亚洲,中国,河南省,566,0.0,16,2,2020-02-03 00:00:00
亚洲,中国,河南省,493,0.0,10,2,2020-02-02 00:00:00
亚洲,中国,河南省,422,0.0,3,2,2020-02-01 00:00:00
亚洲,中国,河南省,352,0.0,3,2,2020-01-31 00:00:00
亚洲,中国,河南省,278,0.0,2,2,2020-01-30 00:00:00
亚洲,中国,河南省,206,0.0,1,2,2020-01-29 00:00:00
亚洲,中国,河南省,168,0.0,0,1,2020-01-28 00:00:00
亚洲,中国,河南省,128,0.0,0,1,2020-01-27 00:00:00
亚洲,中国,河南省,83,0.0,0,1,2020-01-26 00:00:00
亚洲,中国,河南省,32,0.0,0,0,2020-01-25 00:00:00
亚洲,中国,河南省,9,0.0,0,0,2020-01-24 00:00:00
亚洲,中国,河南省,5,0.0,0,0,2020-01-22 00:00:00
