continentName,countryName,provinceName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
亚洲,中国,湖南省,1019,0.0,1015,4,2020-04-18 00:00:00
亚洲,中国,湖南省,1019,0.0,1014,4,2020-04-02 00:00:00
亚洲,中国,湖南省,1018,0.0,1014,4,2020-03-14 00:00:00
亚洲,中国,湖南省,1018,0.0,1005,4,2020-03-13 00:00:00
亚洲,中国,湖南省,1018,0.0,999,4,2020-03-12 00:00:00
亚洲,中国,湖南省,1018,0.0,995,4,2020-03-11 00:00:00
亚洲,中国,湖南省,1018,0.0,990,4,2020-03-10 00:00:00
亚洲,中国,湖南省,1018,0.0,979,4,2020-03-09 00:00:00
亚洲,中国,湖南省,1018,0.0,968,4,2020-03-08 00:00:00
亚洲,中国,湖南省,1018,0.0,960,4,2020-03-07 00:00:00
亚洲,中国,湖南省,1018,0.0,955,4,2020-03-06 00:00:00
亚洲,中国,湖南省,1018,0.0,938,4,2020-03-05 00:00:00
亚洲,中国,湖南省,1018,0.0,916,4,2020-03-04 00:00:00
亚洲,中国,湖南省,1018,0.0,906,4,2020-03-03 00:00:00
亚洲,中国,湖南省,1018,0.0,887,4,2020-03-02 00:00:00
亚洲,中国,湖南省,1018,0.0,866,4,2020-03-01 00:00:00
亚洲,中国,湖南省,1018,0.0,846,4,2020-02-29 00:00:00
亚洲,中国,湖南省,1017,0.0,830,4,2020-02-28 00:00:00
亚洲,中国,湖南省,1017,0.0,804,4,2020-02-27 00:00:00
亚洲,中国,湖南省,1016,0.0,783,4,2020-02-26 00:00:00
亚洲,中国,湖南省,1016,0.0,768,4,2020-02-25 00:00:00
亚洲,中国,湖南省,1016,0.0,731,4,2020-02-24 00:00:00
亚洲,中国,湖南省,1016,0.0,714,4,2020-02-23 00:00:00
亚洲,中国,湖南省,1013,0.0,692,4,2020-02-22 00:00:00
亚洲,中国,湖南省,1011,0.0,661,4,2020-02-21 00:00:00
亚洲,中国,湖南省,1010,0.0,634,4,2020-02-20 00:00:00
亚洲,中国,湖南省,1008,0.0,561,4,2020-02-19 00:00:00
亚洲,中国,湖南省,1007,0.0,527,4,2020-02-18 00:00:00
亚洲,中国,湖南省,1006,0.0,498,3,2020-02-17 00:00:00
亚洲,中国,湖南省,1004,0.0,464,3,2020-02-16 00:00:00
亚洲,中国,湖南省,1001,0.0,425,2,2020-02-15 00:00:00
亚洲,中国,湖南省,988,0.0,364,2,2020-02-14 00:00:00
亚洲,中国,湖南省,968,0.0,339,2,2020-02-13 00:00:00
亚洲,中国,湖南省,946,0.0,304,2,2020-02-12 00:00:00
亚洲,中国,湖南省,912,0.0,247,1,2020-02-11 00:00:00
亚洲,中国,湖南省,879,0.0,208,1,2020-02-10 00:00:00
亚洲,中国,湖南省,838,0.0,186,1,2020-02-09 00:00:00
亚洲,中国,湖南省,803,0.0,156,1,2020-02-08 00:00:00
亚洲,中国,湖南省,772,0.0,112,0,2020-02-07 00:00:00
亚洲,中国,湖南省,711,0.0,81,0,2020-02-06 00:00:00
亚洲,中国,湖南省,661,0.0,54,0,2020-02-05 00:00:00
亚洲,中国,湖南省,593,0.0,31,0,2020-02-04 00:00:00
亚洲,中国,湖南省,521,0.0,22,0,2020-02-03 00:00:00
亚洲,中国,湖南省,463,0.0,16,0,2020-02-02 00:00:00
亚洲,中国,湖南省,389,0.0,8,0,2020-02-01 00:00:00
亚洲,中国,湖南省,332,0.0,2,0,2020-01-31 00:00:00
亚洲,中国,湖南省,277,0.0,2,0,2020-01-30 00:00:00
亚洲,中国,湖南省,221,0.0,0,0,2020-01-29 00:00:00
亚洲,中国,湖南省,143,0.0,0,0,2020-01-28 00:00:00
亚洲,中国,湖南省,100,0.0,0,0,2020-01-27 00:00:00
亚洲,中国,湖南省,69,0.0,0,0,2020-01-26 00:00:00
亚洲,中国,湖南省,43,0.0,0,0,2020-01-25 00:00:00
亚洲,中国,湖南省,24,0.0,0,0,2020-01-24 00:00:00
亚洲,中国,湖南省,9,0.0,0,0,2020-01-23 00:00:00
亚洲,中国,湖南省,4,0.0,0,0,2020-01-22 00:00:00
