,city_name,province_name,value
0,深圳市,广东省,13.04
1,广州市,广东省,11.62
2,东莞市,广东省,9.98
3,清远市,广东省,7.69
4,韶关市,广东省,3.71
5,佛山市,广东省,3.53
6,北京市,北京市,2.8
7,上海市,上海市,2.64
8,中山市,广东省,2.49
9,桂林市,广西壮族自治区,2.44
10,惠州市,广东省,2.29
11,重庆市,重庆市,1.94
12,贺州市,广西壮族自治区,1.36
13,南宁市,广西壮族自治区,1.28
14,珠海市,广东省,1.27
15,铜仁市,贵州省,1.26
16,荆州市,湖北省,1.18
17,贵阳市,贵州省,1.13
18,杭州市,浙江省,1.11
19,柳州市,广西壮族自治区,1.03
20,萍乡市,江西省,0.94
21,宁波市,浙江省,0.92
22,苏州市,江苏省,0.86
23,成都市,四川省,0.85
24,黔东南苗族侗族自治州,贵州省,0.74
25,江门市,广东省,0.72
26,昆明市,云南省,0.66
27,恩施土家族苗族自治州,湖北省,0.63
28,厦门市,福建省,0.58
29,泉州市,福建省,0.53
30,福州市,福建省,0.47
31,宜春市,江西省,0.42
32,肇庆市,广东省,0.4
33,海口市,海南省,0.38
34,南昌市,江西省,0.38
35,吉安市,江西省,0.38
36,黔南布依族苗族自治州,贵州省,0.36
37,咸宁市,湖北省,0.35
38,赣州市,江西省,0.34
39,九江市,江西省,0.33
40,南京市,江苏省,0.32
41,西安市,陕西省,0.32
42,嘉兴市,浙江省,0.32
43,金华市,浙江省,0.3
44,湛江市,广东省,0.29
45,天津市,天津市,0.28
46,无锡市,江苏省,0.27
47,温州市,浙江省,0.25
48,遵义市,贵州省,0.23
49,百色市,广西壮族自治区,0.23
50,绍兴市,浙江省,0.22
51,汕头市,广东省,0.22
52,贵港市,广西壮族自治区,0.22
53,河源市,广东省,0.2
54,上饶市,江西省,0.2
55,武汉市,湖北省,0.19
56,毕节市,贵州省,0.19
57,梧州市,广西壮族自治区,0.19
58,阳江市,广东省,0.19
59,玉林市,广西壮族自治区,0.19
60,茂名市,广东省,0.18
61,常州市,江苏省,0.18
62,河池市,广西壮族自治区,0.17
63,六盘水市,贵州省,0.17
64,黔西南布依族苗族自治州,贵州省,0.17
65,郑州市,河南省,0.16
66,合肥市,安徽省,0.16
67,来宾市,广西壮族自治区,0.16
68,安顺市,贵州省,0.16
69,北海市,广西壮族自治区,0.15
70,揭阳市,广东省,0.15
71,梅州市,广东省,0.13
72,文山壮族苗族自治州,云南省,0.13
73,青岛市,山东省,0.13
74,钦州市,广西壮族自治区,0.13
75,抚州市,江西省,0.13
76,漳州市,福建省,0.12
77,防城港市,广西壮族自治区,0.12
78,廊坊市,河北省,0.12
79,西双版纳傣族自治州,云南省,0.12
80,南通市,江苏省,0.12
81,云浮市,广东省,0.12
82,汕尾市,广东省,0.12
83,三亚市,海南省,0.11
84,台州市,浙江省,0.11
85,崇左市,广西壮族自治区,0.1
86,石家庄市,河北省,0.1
87,曲靖市,云南省,0.1
88,新余市,江西省,0.09
89,南平市,福建省,0.09
90,绵阳市,四川省,0.09
91,莆田市,福建省,0.09
92,南充市,四川省,0.09
93,南阳市,河南省,0.09
94,潮州市,广东省,0.08
95,红河哈尼族彝族自治州,云南省,0.08
96,洛阳市,河南省,0.08
97,景德镇市,江西省,0.08
98,沈阳市,辽宁省,0.07
99,安庆市,安徽省,0.07
